,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average score,performance_category
0,female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,Medium
1,female,group C,some college,standard,completed,69,90,88,82.33333333333333,High
2,female,group B,master's degree,standard,none,90,95,93,92.66666666666667,High
3,male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,Low
4,male,group C,some college,standard,none,76,78,75,76.33333333333333,Medium
5,female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,Medium
6,female,group B,some college,standard,completed,88,95,92,91.66666666666667,High
7,male,group B,some college,free/reduced,none,40,43,39,40.666666666666664,Low
8,male,group D,high school,free/reduced,completed,64,64,67,65.0,Medium
9,female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,Low
10,male,group C,associate's degree,standard,none,58,54,52,54.666666666666664,Low
11,male,group D,associate's degree,standard,none,40,52,43,45.0,Low
12,female,group B,high school,standard,none,65,81,73,73.0,Medium
13,male,group A,some college,standard,completed,78,72,70,73.33333333333333,Medium
14,female,group A,master's degree,standard,none,50,53,58,53.666666666666664,Low
15,female,group C,some high school,standard,none,69,75,78,74.0,Medium
16,male,group C,high school,standard,none,88,89,86,87.66666666666667,High
17,female,group B,some high school,free/reduced,none,18,32,28,26.0,Low
18,male,group C,master's degree,free/reduced,completed,46,42,46,44.666666666666664,Low
19,female,group C,associate's degree,free/reduced,none,54,58,61,57.666666666666664,Low
20,male,group D,high school,standard,none,66,69,63,66.0,Medium
21,female,group B,some college,free/reduced,completed,65,75,70,70.0,Medium
22,male,group D,some college,standard,none,44,54,53,50.333333333333336,Low
23,female,group C,some high school,standard,none,69,73,73,71.66666666666667,Medium
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,Medium
25,male,group A,master's degree,free/reduced,none,73,74,72,73.0,Medium
26,male,group B,some college,standard,none,69,54,55,59.333333333333336,Low
27,female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,Medium
28,male,group C,high school,standard,none,70,70,65,68.33333333333333,Medium
29,female,group D,master's degree,standard,none,62,70,75,69.0,Medium
30,female,group D,some college,standard,none,69,74,74,72.33333333333333,Medium
31,female,group B,some college,standard,none,63,65,61,63.0,Medium
32,female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,Medium
33,male,group D,some college,standard,none,40,42,38,40.0,Low
34,male,group E,some college,standard,none,97,87,82,88.66666666666667,High
35,male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,High
36,female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,Medium
37,female,group D,some high school,free/reduced,none,50,64,59,57.666666666666664,Low
38,female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,High
39,male,group B,associate's degree,free/reduced,none,57,56,57,56.666666666666664,Low
40,male,group C,associate's degree,free/reduced,none,55,61,54,56.666666666666664,Low
41,female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,Medium
42,female,group B,associate's degree,standard,none,53,58,65,58.666666666666664,Low
43,male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,Medium
44,female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,Low
45,male,group B,associate's degree,standard,none,65,54,57,58.666666666666664,Low
46,female,group A,associate's degree,standard,completed,55,65,62,60.666666666666664,Medium
47,female,group C,high school,standard,none,66,71,76,71.0,Medium
48,female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,Medium
49,male,group C,high school,standard,completed,82,84,82,82.66666666666667,High
50,male,group E,some college,standard,none,53,55,48,52.0,Low
51,male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,Medium
52,male,group C,some college,standard,none,53,44,42,46.333333333333336,Low
53,male,group D,high school,standard,none,88,78,75,80.33333333333333,High
54,female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,High
55,female,group C,high school,free/reduced,none,33,41,43,39.0,Low
56,female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,High
57,male,group D,associate's degree,standard,none,52,55,49,52.0,Low
58,male,group D,some college,standard,completed,58,59,58,58.333333333333336,Low
59,female,group C,some high school,free/reduced,none,0,17,10,9.0,Low
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,Medium
61,male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,Low
62,male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,Low
63,female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,Medium
64,female,group D,some high school,standard,none,59,58,59,58.666666666666664,Low
65,male,group B,some high school,standard,none,67,64,61,64.0,Medium
66,male,group D,some high school,free/reduced,none,45,37,37,39.666666666666664,Low
67,female,group C,some college,standard,none,60,72,74,68.66666666666667,Medium
68,male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,Low
69,female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,Low
70,female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,Medium
71,male,group D,some college,standard,completed,63,55,63,60.333333333333336,Medium
72,female,group A,associate's degree,free/reduced,none,41,51,48,46.666666666666664,Low
73,male,group C,some high school,free/reduced,none,61,57,56,58.0,Low
